season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
18/19;Kylian Mbappe;19;120000000;Monaco;Paris SG;180000000
18/19;Cristiano Ronaldo;33;100000000;Real Madrid;Juventus;117000000
18/19;Kepa Arrizabalaga;23;20000000;Athletic;Chelsea;80000000
18/19;Thomas Lemar;22;65000000;Monaco;Atletico Madrid;72000000
18/19;Riyad Mahrez;27;50000000;Leicester;Man City;67800000
18/19;Christian Pulisic;20;50000000;Bor. Dortmund;Chelsea;64000000
18/19;Alisson;25;60000000;AS Roma;Liverpool;62500000
18/19;Naby Keita;23;65000000;RB Leipzig;Liverpool;60000000
18/19;Fred;25;32000000;Shakhtar D.;Man Utd;59000000
18/19;Jorginho;26;50000000;SSC Napoli;Chelsea;57000000
18/19;Fabinho;24;45000000;Monaco;Liverpool;45000000
18/19;Vinicius Junior;18;35000000;Flamengo;Real Madrid;45000000
18/19;Paulinho;30;38000000;Barcelona;GZ Evergrande;42000000
18/19;Patrik Schick;22;20000000;Sampdoria;AS Roma;42000000
18/19;Malcom;21;45000000;G. Bordeaux;Barcelona;41000000
18/19;Joao Cancelo;24;35000000;Valencia;Juventus;40400000
18/19;Douglas Costa;27;55000000;Bayern Munich;Juventus;40000000
18/19;Goncalo Guedes;21;40000000;Paris SG;Valencia;40000000
18/19;Leandro Paredes;24;25000000;Zenit S-Pb;Paris SG;40000000
18/19;Richarlison;21;25000000;Watford;Everton;39200000
18/19;Lucas Paqueta;21;15000000;Flamengo;AC Milan;38400000
18/19;Radja Nainggolan;30;45000000;AS Roma;Inter;38000000
18/19;Felipe Anderson;25;30000000;Lazio;West Ham;38000000
18/19;Mattia Caldara;24;25000000;Juventus;AC Milan;37740000
18/19;Thilo Kehrer;21;18000000;FC Schalke 04;Paris SG;37000000
18/19;Clement Lenglet;23;36000000;Sevilla FC;Barcelona;35900000
18/19;Thibaut Courtois;26;65000000;Chelsea;Real Madrid;35000000
18/19;Leonardo Bonucci;31;35000000;AC Milan;Juventus;35000000
18/19;Shoya Nakajima;24;18000000;Portimonense;Al-Duhail SC;35000000
18/19;Krzysztof Piatek;23;15000000;Genoa;AC Milan;35000000
18/19;Alvaro Odriozola;22;25000000;Real Sociedad;Real Madrid;32000000
18/19;Arthur Melo;21;30000000;Gremio;Barcelona;31000000
18/19;Jefferson Lerma;23;2000000;Levante;Bournemouth;30500000
18/19;Yerry Mina;23;20000000;Barcelona;Everton;30250000
18/19;Jean Michael Seri;27;30000000;OGC Nice;Fulham;30000000
18/19;Aleksandr Golovin;22;25000000;CSKA Moscow;Monaco;30000000
18/19;Fabian Ruiz;22;20000000;Real Betis;SSC Napoli;30000000
18/19;Anthony Modeste;30;16000000;1. FC Koln;TJ Tianhai;29000000
18/19;Lucas Torreira;22;30000000;Sampdoria;Arsenal;28650000
18/19;Abdou Diallo;22;12000000;1.FSV Mainz 05;Bor. Dortmund;28000000
18/19;Steven Nzonzi;29;30000000;Sevilla FC;AS Roma;26650000
18/19;Kevin Strootman;28;28000000;AS Roma;Marseille;25000000
18/19;Lautaro Martinez;20;25000000;Racing Club;Inter;25000000
18/19;Issa Diop;21;22000000;Toulouse;West Ham;25000000
18/19;Bernd Leno;26;20000000;B. Leverkusen;Arsenal;25000000
18/19;Jannik Vestergaard;25;14000000;Bor. M'gladbach;Southampton;25000000
18/19;James Maddison;21;10000000;Norwich;Leicester;25000000
18/19;Frank Anguissa;22;18000000;Marseille;Fulham;24850000
18/19;Javier Pastore;29;15000000;Paris SG;AS Roma;24700000
18/19;Aleksandar Mitrovic;23;15000000;Newcastle;Fulham;24700000
18/19;Simone Verdi;25;25000000;Bologna;SSC Napoli;24500000
18/19;Yuri Berchiche;28;17000000;Paris SG;Athletic;24000000
18/19;Miguel Almiron;24;15000000;Atlanta;Newcastle;24000000
18/19;Alassane Plea;25;18000000;OGC Nice;Bor. M'gladbach;23000000
18/19;Nikola Kalinic;30;14000000;Fiorentina;AC Milan;22500000
18/19;Gelson Martins;23;35000000;Sporting CP;Atletico Madrid;22000000
18/19;Geoffrey Kondogbia;25;30000000;Inter;Valencia;22000000
18/19;Ricardo Pereira;24;20000000;FC Porto;Leicester;22000000
18/19;Diogo Dalot;19;15000000;FC Porto;Man Utd;22000000
18/19;Moussa Dembele;22;7000000;Celtic;Olympique Lyon;22000000
18/19;Mariano Diaz;25;22000000;Olympique Lyon;Real Madrid;21500000
18/19;Samu Castillejo;23;15000000;Villarreal;AC Milan;21300000
18/19;Dominic Solanke;21;10000000;Liverpool;Bournemouth;21200000
18/19;Caglar Soyuncu;22;18000000;SC Freiburg;Leicester;21100000
18/19;Quincy Promes;26;24000000;Spartak Moscow;Sevilla FC;21000000
18/19;Jonny Otto;24;12000000;Atletico Madrid;Wolves;21000000
18/19;Lucas Digne;25;15000000;Barcelona;Everton;20200000
18/19;Marek Hamsik;31;30000000;SSC Napoli;DL Yifang;20000000
18/19;Rodri;22;25000000;Villarreal;Atletico Madrid;20000000
18/19;Andriy Yarmolenko;28;23000000;Bor. Dortmund;West Ham;20000000
18/19;Axel Witsel;29;20000000;TJ Tianhai;Bor. Dortmund;20000000
18/19;Gerard Moreno;26;20000000;Espanyol;Villarreal;20000000
18/19;Thomas Delaney;26;12000000;Werder Bremen;Bor. Dortmund;20000000
18/19;Benjamin Henrichs;21;12000000;B. Leverkusen;Monaco;20000000
18/19;Terence Kongolo;24;10000000;Monaco;Huddersfield;20000000
18/19;Rolando Mandragora;21;10000000;Juventus;Udinese Calcio;20000000
18/19;Adama Traore;22;8000000;Middlesbrough;Wolves;20000000
18/19;Willem Geubbels;16;6000000;Olympique Lyon;Monaco;20000000
18/19;Talisca;24;25000000;Benfica;GZ Evergrande;19200000
18/19;Amadou Haidara;20;20000000;RB Salzburg;RB Leipzig;19000000
18/19;Diego Laxalt;25;18000000;Genoa;AC Milan;19000000
18/19;Alireza Jahanbakhsh;24;18000000;AZ Alkmaar;Brighton;19000000
18/19;Duje Caleta-Car;21;10000000;RB Salzburg;Marseille;19000000
18/19;Paulinho;18;25000000;Vasco da Gama;B. Leverkusen;18500000
18/19;Duvan Zapata;27;20000000;SSC Napoli;Sampdoria;18500000
18/19;Alvaro Morata;26;50000000;Chelsea;Atletico Madrid;18000000
18/19;Arturo Vidal;31;35000000;Bayern Munich;Barcelona;18000000
18/19;Karl Toko Ekambi;25;18000000;Angers SCO;Villarreal;18000000
18/19;Rui Patricio;30;16000000;Sporting CP;Wolves;18000000
18/19;Mohamed Elyounoussi;23;8500000;FC Basel;Southampton;18000000
18/19;Joaquin Correa;23;10000000;Sevilla FC;Lazio;17850000
18/19;Justin Kluivert;19;15000000;Ajax;AS Roma;17250000
18/19;Brahim Diaz;19;5000000;Man City;Real Madrid;17000000
18/19;Ben Gibson;25;10000000;Middlesbrough;Burnley;16900000
18/19;Alfie Mawson;24;15000000;Swansea;Fulham;16850000
18/19;Yves Bissouma;21;8000000;LOSC Lille;Brighton;16800000
18/19;Ahmed Musa;25;15000000;Leicester;Al-Nassr FC;16500000
18/19;William Carvalho;26;25000000;Sporting CP;Real Betis;16000000
18/19;Sokratis Papastathopoulos;30;20000000;Bor. Dortmund;Arsenal;16000000
18/19;Kevin Gameiro;31;20000000;Atletico Madrid;Valencia;16000000
18/19;Daley Blind;28;18000000;Man Utd;Ajax;16000000
18/19;Sebastian Rudy;28;15000000;Bayern Munich;FC Schalke 04;16000000
18/19;Nordi Mukiele;20;14000000;Montpellier;RB Leipzig;16000000
18/19;Leonardo Balerdi;19;2500000;Boca Juniors;Bor. Dortmund;15500000
18/19;Wilmar Barrios;25;12000000;Boca Juniors;Zenit S-Pb;15000000
18/19;Gregoire Defrel;27;10000000;Sassuolo;AS Roma;15000000
18/19;Mouctar Diakhaby;21;10000000;Olympique Lyon;Valencia;15000000
18/19;Giorgian de Arrascaeta;24;9000000;Cruzeiro;Flamengo;15000000
18/19;Joao Carvalho;21;2500000;Benfica;Nottm Forest;15000000
18/19;Diego Rico;25;2500000;CD Leganes;Bournemouth;15000000
18/19;Matheus Cunha;19;1500000;FC Sion;RB Leipzig;15000000
18/19;Tete;19;;Gremio;Shakhtar D.;15000000
18/19;Roger Martinez;24;2500000;JS Suning;Villarreal;14900000
18/19;Xherdan Shaqiri;26;18000000;Stoke City;Liverpool;14700000
18/19;Pity Martinez;25;20000000;River Plate;Atlanta;14500000
18/19;Nikola Kalinic;30;14000000;AC Milan;Atletico Madrid;14500000
18/19;Filip Benkovic;21;11000000;Dinamo Zagreb;Leicester;14500000
18/19;Rodolfo Pizarro;24;5500000;Chivas;Monterrey;14500000
18/19;Ibrahim Amadou;25;3500000;LOSC Lille;Sevilla FC;14400000
18/19;Mattia Perin;25;16000000;Genoa;Juventus;14200000
18/19;Duvan Zapata;27;20000000;Sampdoria;Atalanta BC;14000000
18/19;Diogo Jota;21;12000000;Atletico Madrid;Wolves;14000000
18/19;Alphonso Davies;18;10000000;Vancouver;Bayern Munich;14000000
18/19;Rachid Ghezzal;26;4000000;Monaco;Leicester;14000000
18/19;Jean-Eudes Aholou;24;3000000;R. Strasbourg;Monaco;14000000
18/19;Danny Ward;25;2500000;Liverpool;Leicester;14000000
18/19;Diego Lainez;18;1500000;America;Real Betis;14000000
18/19;Dusan Tadic;29;15000000;Southampton;Ajax;13700000
18/19;Chris Mepham;21;8000000;Brentford;Bournemouth;13600000
18/19;Joris Gnagnon;21;15000000;Rennes;Sevilla FC;13500000
18/19;Davy Klaassen;25;15000000;Everton;Werder Bremen;13500000
18/19;Benik Afobe;25;10000000;Wolves;Stoke City;13500000
18/19;Maximiliano Meza;26;14000000;Independiente;Monterrey;13150000
18/19;Gerard Deulofeu;24;14000000;Barcelona;Watford;13000000
18/19;Mbaye Diagne;27;5500000;Kasimpasa;Galatasaray;13000000
18/19;Matej Vydra;26;8000000;Derby;Burnley;12200000
18/19;Jeison Murillo;26;15000000;Inter;Valencia;12000000
18/19;Nacer Chadli;29;15000000;West Brom;Monaco;12000000
18/19;Mitchell Weiser;24;12000000;Hertha BSC;B. Leverkusen;12000000
18/19;Mikel Merino;22;12000000;Newcastle;Real Sociedad;12000000
18/19;M'Baye Niang;23;10000000;AC Milan;Torino;12000000
18/19;Francesco Acerbi;30;10000000;Sassuolo;Lazio;12000000
18/19;Marlon;22;10000000;Barcelona;Sassuolo;12000000
18/19;Sardar Azmoun;24;9500000;Rubin Kazan;Zenit S-Pb;12000000
18/19;Souza;29;9000000;Fenerbahce;Al-Ahli SFC;12000000
18/19;Vitinho;24;8000000;CSKA Moscow;Flamengo;12000000
18/19;Kevin Malcuit;27;7500000;LOSC Lille;SSC Napoli;12000000
18/19;Nemanja Radonjic;22;6000000;Red Star;Marseille;12000000
18/19;Willy Boly;27;5000000;FC Porto;Wolves;12000000
18/19;Marcelo Saracchi;20;4500000;River Plate;RB Leipzig;12000000
18/19;Emerson Royal;20;50000;Atletico-MG;Barcelona;12000000
18/19;Manolo Gabbiadini;27;10000000;Southampton;Sampdoria;11900000
18/19;Soualiho Meite;24;8000000;Monaco;Torino;11500000
18/19;Benik Afobe;25;10000000;Bournemouth;Wolves;11400000
18/19;Jonathan Rodriguez;25;3500000;Santos Laguna;CD Cruz Azul;11400000
18/19;Josh Murphy;23;1500000;Norwich;Cardiff;11400000
18/19;Bobby De Cordova-Reid;25;3000000;Bristol City;Cardiff;11350000
18/19;David Brooks;20;5000000;Sheff Utd;Bournemouth;11300000
18/19;Angus Gunn;22;2000000;Man City;Southampton;11300000
18/19;Nicolas Gonzalez;20;5000000;Argentinos Jrs.;VfB Stuttgart;11260000
18/19;Tom Ince;26;8000000;Huddersfield;Stoke City;11200000
18/19;Santiago Arias;26;18000000;PSV Eindhoven;Atletico Madrid;11000000
18/19;Suat Serdar;21;7500000;1.FSV Mainz 05;FC Schalke 04;11000000
18/19;Gianluca Lapadula;28;7000000;AC Milan;Genoa;11000000
18/19;Fode Ballo-Toure;22;7000000;LOSC Lille;Monaco;11000000
18/19;Ozan Kabak;18;6500000;Galatasaray;VfB Stuttgart;11000000
18/19;Emmanuel Boateng;22;3000000;Levante;DL Yifang;11000000
18/19;Cheikhou Kouyate;28;12000000;West Ham;Crystal Palace;10700000
18/19;Armando Izzo;26;8500000;Genoa;Torino;10700000
18/19;Yoshinori Muto;26;6000000;1.FSV Mainz 05;Newcastle;10700000
18/19;Victor Davila;21;3500000;Necaxa;Pachuca;10600000
18/19;Orbelin Pineda;22;5000000;Chivas;CD Cruz Azul;10560000
18/19;Giuliano;28;12000000;Fenerbahce;Al-Nassr FC;10500000
18/19;Valentino Lazaro;22;9000000;RB Salzburg;Hertha BSC;10500000
18/19;Wout Weghorst;25;7000000;AZ Alkmaar;VfL Wolfsburg;10500000
18/19;Odsonne Edouard;20;1500000;Paris SG;Celtic;10300000
18/19;Djaniny;27;5000000;Santos Laguna;Al-Ahli SFC;10240000
18/19;Gonzalo Higuain;30;55000000;Juventus;AC Milan;10200000
18/19;Karim Adeyemi;16;;U'haching U19;RB Salzburg;10100000
18/19;Jordan Amavi;24;16000000;Aston Villa;Marseille;10000000
18/19;Vicente Iborra;30;9000000;Leicester;Villarreal;10000000
18/19;Omar Mascarell;25;8000000;Real Madrid;FC Schalke 04;10000000
18/19;Yaroslav Rakitskyi;29;7500000;Shakhtar D.;Zenit S-Pb;10000000
18/19;Danilo Barbosa;22;7000000;SC Braga;OGC Nice;10000000
18/19;Aleksandar Prijovic;28;6000000;PAOK Salonika;Al-Ittihad Club;10000000
18/19;Santiago Caseres;21;6000000;Velez Sarsfield;Villarreal;10000000
18/19;Bernardo;23;6000000;RB Leipzig;Brighton;10000000
18/19;Adama Diakhaby;22;5000000;Monaco;Huddersfield;10000000
18/19;Nemanja Maksimovic;23;5000000;Valencia;Getafe;10000000
18/19;Myziane Maolida;19;4500000;Olympique Lyon;OGC Nice;10000000
18/19;Nicolae Stanciu;25;4250000;Sparta Prague;Al-Ahli SFC;10000000
18/19;Daniel Ginczek;27;3500000;VfB Stuttgart;VfL Wolfsburg;10000000
18/19;Antonio Barreca;23;3500000;Torino;Monaco;10000000
18/19;Jason Denayer;23;3000000;Man City;Olympique Lyon;10000000
18/19;Jeremie Boga;21;2500000;Chelsea U23;Sassuolo;10000000
18/19;Borja Iglesias;25;1000000;Celta de Vigo;Espanyol;10000000
18/19;German Pezzella;27;13000000;Real Betis;Fiorentina;9750000
18/19;Gabriel Pires;24;10000000;CD Leganes;Benfica;9600000
18/19;Bryan Cristante;23;25000000;Benfica;Atalanta BC;9500000
18/19;Roger Guedes;21;9000000;Palmeiras;SD Luneng;9500000
18/19;Davide Santon;27;3000000;Inter;AS Roma;9500000
18/19;Aleix Vidal;28;7500000;Barcelona;Sevilla FC;9300000
18/19;Omar Colley;25;5000000;KRC Genk;Sampdoria;9250000
18/19;Alejandro Pozuelo;27;8000000;KRC Genk;Toronto;9090000
18/19;Cesc Fabregas;31;25000000;Chelsea;Monaco;9000000
18/19;Fedor Smolov;28;14000000;Krasnodar;Loko Moscow;9000000
18/19;Ramiro Funes Mori;27;10000000;Everton;Villarreal;9000000
18/19;Pablo Maffeo;20;10000000;Man City;VfB Stuttgart;9000000
18/19;Riccardo Saponara;26;9000000;Empoli;Fiorentina;9000000
18/19;Lukasz Skorupski;27;7000000;AS Roma;Bologna;9000000
18/19;Lisandro Magallan;25;6000000;Boca Juniors;Ajax;9000000
18/19;Robin Olsen;28;2500000;FC Copenhagen;AS Roma;9000000
18/19;Jordan;22;2500000;Stade Reims;Rennes;9000000
18/19;Brian Fernandez;24;2000000;Necaxa;Portland;9000000
18/19;Antonino La Gumina;22;2000000;US Palermo;Empoli;9000000
18/19;Rabbi Matondo;18;;Man City U23;FC Schalke 04;9000000
18/19;Garry Rodrigues;28;9000000;Galatasaray;Al-Ittihad Club;9000000
18/19;Nikola Vukcevic;26;7500000;SC Braga;Levante;8900000
18/19;Carlos Salcedo;25;10000000;E. Frankfurt;Tigres UANL;8800000
18/19;Guido Pizarro;28;7500000;Sevilla FC;Tigres UANL;8700000
18/19;Samuel Kalu;20;5000000;KAA Gent;G. Bordeaux;8500000
18/19;Keno;28;3500000;Palmeiras;Pyramids FC;8500000
18/19;Andriy Lunin;19;3500000;Zorya Lugansk;Real Madrid;8500000
18/19;Nordin Amrabat;31;3000000;Watford;Al-Nassr FC;8500000
18/19;Roger Martinez;24;2500000;Villarreal;America;8500000
18/19;Davide Bettella;18;1000000;Inter;Atalanta BC;8500000
18/19;Ben Brereton Diaz;19;5000000;Nottm Forest;Blackburn;8300000
18/19;Anthony Limbombe;24;8000000;Club Brugge;FC Nantes;8250000
18/19;Hassane Bande;19;7500000;KV Mechelen;Ajax;8250000
18/19;Tanguy Ndombele;21;25000000;Amiens SC;Olympique Lyon;8000000
18/19;Alban Lafont;19;18000000;Toulouse;Fiorentina;8000000
18/19;Medhi Benatia;31;15000000;Juventus;Al-Duhail SC;8000000
18/19;Sergi Darder;24;11000000;Olympique Lyon;Espanyol;8000000
18/19;Kasim Adams;23;8500000;BSC Young Boys;TSG Hoffenheim;8000000
18/19;Cristiano Piccini;25;7500000;Sporting CP;Valencia;8000000
18/19;Ignacio Pussetto;22;7000000;Huracan;Udinese Calcio;8000000
18/19;Sam Vokes;29;6000000;Burnley;Stoke City;8000000
18/19;Samuel Gigot;24;6000000;KAA Gent;Spartak Moscow;8000000
18/19;Aden Flint;28;5000000;Bristol City;Middlesbrough;8000000
18/19;Lukasz Fabianski;33;5000000;Swansea;West Ham;8000000
18/19;Alexis Mac Allister;20;5000000;Argentinos Jrs.;Brighton;8000000
18/19;Erling Haaland;18;5000000;Molde FK;RB Salzburg;8000000
18/19;Alexandru Mitrita;24;3500000;CS U Craiova;New York City;8000000
18/19;Christian Cueva;26;3000000;Sao Paulo;Krasnodar;8000000
18/19;Jean-Philippe Mateta;21;2500000;Olympique Lyon;1.FSV Mainz 05;8000000
18/19;Matteo Guendouzi;19;2500000;FC Lorient;Arsenal;8000000
18/19;Fran Beltran;19;2000000;Rayo Vallecano;Celta de Vigo;8000000
18/19;Bubacarr Sanneh;23;1500000;FC Midtjylland;RSC Anderlecht;8000000
18/19;Stuart Armstrong;26;2000000;Celtic;Southampton;7950000
18/19;Kurt Zouma;23;15000000;Chelsea;Everton;7900000
19/20;Joao Felix;19;70000000;Benfica;Atletico Madrid;127200000
19/20;Antoine Griezmann;28;130000000;Atletico Madrid;Barcelona;120000000
19/20;Eden Hazard;28;150000000;Chelsea;Real Madrid;115000000
19/20;Harry Maguire;26;50000000;Leicester;Man Utd;87000000
19/20;Frenkie de Jong;22;85000000;Ajax;Barcelona;86000000
19/20;Matthijs de Ligt;19;75000000;Ajax;Juventus;85500000
19/20;Lucas Hernandez;23;70000000;Atletico Madrid;Bayern Munich;80000000
19/20;Nicolas Pepe;24;65000000;LOSC Lille;Arsenal;80000000
19/20;Romelu Lukaku;26;75000000;Man Utd;Inter;74000000
19/20;Rodri;23;80000000;Atletico Madrid;Man City;70000000
19/20;Joao Cancelo;25;55000000;Juventus;Man City;65000000
19/20;Luka Jovic;21;60000000;E. Frankfurt;Real Madrid;63000000
19/20;Bruno Fernandes;25;60000000;Sporting CP;Man Utd;63000000
19/20;Tanguy Ndombele;22;65000000;Olympique Lyon;Tottenham;62000000
19/20;Aaron Wan-Bissaka;21;35000000;Crystal Palace;Man Utd;55000000
19/20;Eder Militao;21;50000000;FC Porto;Real Madrid;50000000
19/20;Sebastien Haller;25;40000000;E. Frankfurt;West Ham;50000000
19/20;Ferland Mendy;24;30000000;Olympique Lyon;Real Madrid;48000000
19/20;Hirving Lozano;24;40000000;PSV Eindhoven;SSC Napoli;45000000
19/20;Rodrygo;18;40000000;Santos;Real Madrid;45000000
19/20;Youri Tielemans;22;38000000;Monaco;Leicester;45000000
19/20;Mateo Kovacic;25;35000000;Real Madrid;Chelsea;45000000
19/20;Joelinton;22;35000000;TSG Hoffenheim;Newcastle;44000000
19/20;Wissam Ben Yedder;29;40000000;Sevilla FC;Monaco;40000000
19/20;Malcom;22;40000000;Barcelona;Zenit S-Pb;40000000
19/20;Raul Jimenez;28;35000000;Benfica;Wolves;38000000
19/20;Danilo;28;20000000;Man City;Juventus;37000000
19/20;Konstantinos Manolas;28;45000000;AS Roma;SSC Napoli;36000000
19/20;Benjamin Pavard;23;30000000;VfB Stuttgart;Bayern Munich;35000000
19/20;Dejan Kulusevski;19;25000000;Atalanta BC;Juventus;35000000
19/20;Jasper Cillessen;30;18000000;Barcelona;Valencia;35000000
19/20;Jules Kounde;20;15000000;G. Bordeaux;Sevilla FC;35000000
19/20;Ayoze Perez;25;20000000;Newcastle;Leicester;33400000
19/20;Abdou Diallo;23;35000000;Bor. Dortmund;Paris SG;32000000
19/20;Franck Kessie;22;33000000;Atalanta BC;AC Milan;32000000
19/20;Kerem Demirbay;26;32000000;TSG Hoffenheim;B. Leverkusen;32000000
19/20;Cristian Romero;21;15000000;Genoa;Juventus;31500000
19/20;Mats Hummels;30;35000000;Bayern Munich;Bor. Dortmund;30500000
19/20;Alex Iwobi;23;25000000;Arsenal;Everton;30400000
19/20;Steven Bergwijn;22;35000000;PSV Eindhoven;Tottenham;30000000
19/20;Ismaila Sarr;21;30000000;Rennes;Watford;30000000
19/20;Gelson Martins;24;28000000;Atletico Madrid;Monaco;30000000
19/20;Reinier;18;25000000;Flamengo;Real Madrid;30000000
19/20;Idrissa Gueye;29;25000000;Everton;Paris SG;30000000
19/20;Marcos Llorente;24;20000000;Real Madrid;Atletico Madrid;30000000
19/20;William Saliba;18;12000000;Saint-Etienne;Arsenal;30000000
19/20;Leonardo Spinazzola;26;15000000;Juventus;AS Roma;29500000
19/20;Rafael Leao;20;15000000;LOSC Lille;AC Milan;29500000
19/20;Dani Olmo;21;35000000;Dinamo Zagreb;RB Leipzig;29000000
19/20;Borja Iglesias;26;28000000;Espanyol;Real Betis;28000000
19/20;Pablo Fornals;23;25000000;Villarreal;West Ham;28000000
19/20;Moise Kean;19;40000000;Juventus;Everton;27500000
19/20;Christian Eriksen;27;90000000;Tottenham;Inter;27000000
19/20;Ryan Sessegnon;19;35000000;Fulham;Tottenham;27000000
19/20;Kieran Tierney;22;12500000;Celtic;Arsenal;27000000
19/20;Alex Meret;22;25000000;Udinese Calcio;SSC Napoli;26000000
19/20;Neto;29;18000000;Valencia;Barcelona;26000000
19/20;Thorgan Hazard;26;38000000;Bor. M'gladbach;Bor. Dortmund;25500000
19/20;Nico Schulz;26;25000000;TSG Hoffenheim;Bor. Dortmund;25500000
