season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
19/20;Danny Ings;26;15000000;Liverpool;Southampton;25100000
19/20;Julian Brandt;23;50000000;B. Leverkusen;Bor. Dortmund;25000000
19/20;Marko Arnautovic;30;35000000;West Ham;SH SIPG;25000000
19/20;Jean-Philippe Gbamin;23;28000000;1.FSV Mainz 05;Everton;25000000
19/20;Andre Gomes;25;28000000;Barcelona;Everton;25000000
19/20;Rony Lopes;23;25000000;Monaco;Sevilla FC;25000000
19/20;Mario Hermoso;24;25000000;Espanyol;Atletico Madrid;25000000
19/20;Wesley Moraes;22;20000000;Club Brugge;Aston Villa;25000000
19/20;Lucas Tousart;22;20000000;Olympique Lyon;Hertha BSC;25000000
19/20;Jeff Reine-Adelaide;21;11000000;Angers SCO;Olympique Lyon;25000000
19/20;Krzysztof Piatek;24;32000000;AC Milan;Hertha BSC;24000000
19/20;Joachim Andersen;23;25000000;Sampdoria;Olympique Lyon;24000000
19/20;Pau Lopez;24;20000000;Real Betis;AS Roma;23500000
19/20;Paco Alcacer;26;42000000;Bor. Dortmund;Villarreal;23000000
19/20;Sander Berge;21;22000000;KRC Genk;Sheff Utd;23000000
19/20;Nikola Vlasic;21;20000000;Everton;CSKA Moscow;23000000
19/20;Theo Hernandez;21;15000000;Real Madrid;AC Milan;22800000
19/20;Raul de Tomas;25;15000000;Benfica;Espanyol;22500000
19/20;Valentino Lazaro;23;17000000;Hertha BSC;Inter;22400000
19/20;Victor Osimhen;20;13000000;RSC Charleroi;LOSC Lille;22400000
19/20;Luka Jovic;21;60000000;Benfica;E. Frankfurt;22340000
19/20;Tyrone Mings;26;5000000;Bournemouth;Aston Villa;22300000
19/20;Adam Webster;24;9000000;Bristol City;Brighton;22220000
19/20;Giovani Lo Celso;23;50000000;Paris SG;Real Betis;22000000
19/20;Kieran Trippier;28;35000000;Tottenham;Atletico Madrid;22000000
19/20;Thiago Mendes;27;25000000;LOSC Lille;Olympique Lyon;22000000
19/20;Bryan Cristante;24;25000000;Atalanta BC;AS Roma;22000000
19/20;Luca Pellegrini;20;5000000;AS Roma;Juventus;22000000
19/20;Renan Lodi;21;4000000;Athletico-PR;Atletico Madrid;21750000
19/20;Jarrod Bowen;23;10000000;Hull City;West Ham;21300000
19/20;Luis Muriel;28;13000000;Sevilla FC;Atalanta BC;21200000
19/20;Matteo Politano;25;30000000;Sassuolo;Inter;21100000
19/20;Paco Alcacer;25;37000000;Barcelona;Bor. Dortmund;21000000
19/20;Stanislav Lobotka;25;20000000;Celta de Vigo;SSC Napoli;21000000
19/20;Amadou Diawara;21;15000000;SSC Napoli;AS Roma;21000000
19/20;Raphinha;22;8000000;Sporting CP;Rennes;21000000
19/20;Kasper Dolberg;21;18000000;Ajax;OGC Nice;20500000
19/20;Edmond Tapsoba;21;4500000;Vit. Guimaraes;B. Leverkusen;20200000
19/20;Erling Haaland;19;45000000;RB Salzburg;Bor. Dortmund;20000000
19/20;Junior Firpo;22;25000000;Real Betis;Barcelona;20000000
19/20;Julian Weigl;24;23000000;Bor. Dortmund;Benfica;20000000
19/20;Felipe;30;20000000;FC Porto;Atletico Madrid;20000000
19/20;Raul de Tomas;24;20000000;Real Madrid;Benfica;20000000
19/20;Bruno Guimaraes;22;20000000;Athletico-PR;Olympique Lyon;20000000
19/20;Dodi Lukebakio;21;18000000;Watford;Hertha BSC;20000000
19/20;Renato Sanches;22;18000000;Bayern Munich;LOSC Lille;20000000
19/20;Emil Audero;22;15000000;Juventus;Sampdoria;20000000
19/20;Maximilian Philipp;25;13000000;Bor. Dortmund;Dinamo Moscow;20000000
19/20;Youssef En-Nesyri;22;12000000;CD Leganes;Sevilla FC;20000000
19/20;Nabil Fekir;26;60000000;Olympique Lyon;Real Betis;19750000
19/20;Daniel Podence;24;6000000;Olympiacos;Wolves;19600000
19/20;Merih Demiral;21;15000000;Sassuolo;Juventus;19500000
19/20;Sofyan Amrabat;23;10000000;Hellas Verona;Fiorentina;19500000
19/20;Dennis Praet;25;24000000;Sampdoria;Leicester;19200000
19/20;Oliver McBurnie;23;8000000;Swansea;Sheff Utd;19100000
19/20;Yusuf Yazici;22;13000000;Trabzonspor;LOSC Lille;18500000
19/20;Salomon Rondon;29;15000000;West Brom;DL Pro;18270000
19/20;Pablo Sarabia;27;40000000;Sevilla FC;Paris SG;18000000
19/20;Patrick Cutrone;21;28000000;AC Milan;Wolves;18000000
19/20;Allan Saint-Maximin;22;25000000;OGC Nice;Newcastle;18000000
19/20;Ademola Lookman;21;20000000;Everton;RB Leipzig;18000000
19/20;Guillermo Maripan;25;15000000;Alaves;Monaco;18000000
19/20;Aurelien Tchouameni;20;14000000;G. Bordeaux;Monaco;18000000
19/20;Matheus Cunha;20;13000000;RB Leipzig;Hertha BSC;18000000
19/20;Martin Braithwaite;28;10000000;CD Leganes;Barcelona;18000000
19/20;Guus Til;21;6000000;AZ Alkmaar;Spartak Moscow;18000000
19/20;Pedro Neto;19;2500000;Lazio;Wolves;17900000
19/20;Daniel James;21;12000000;Swansea;Man Utd;17800000
19/20;Gabriel;23;23000000;Inter;Flamengo;17500000
19/20;Pedri;16;;UD Las Palmas;Barcelona;17500000
19/20;Ismael Bennacer;21;12000000;Empoli;AC Milan;17200000
19/20;Exequiel Palacios;21;25000000;River Plate;B. Leverkusen;17000000
19/20;Munas Dabbur;27;15000000;RB Salzburg;Sevilla FC;17000000
19/20;Carlos Vinicius;24;7000000;SSC Napoli;Benfica;17000000
19/20;Douglas Luiz;21;2500000;Man City;Aston Villa;16800000
19/20;Che Adams;22;7000000;Birmingham;Southampton;16700000
19/20;Andrea Petagna;24;18000000;SPAL;SSC Napoli;16600000
19/20;Stefano Sturaro;26;10000000;Juventus;Genoa;16500000
19/20;Philip Billing;23;7000000;Huddersfield;Bournemouth;16500000
19/20;Arnaut Danjuma;22;12000000;Club Brugge;Bournemouth;16460000
19/20;Nahitan Nandez;23;18000000;Boca Juniors;Cagliari Calcio;16200000
19/20;Eljif Elmas;19;10000000;Fenerbahce;SSC Napoli;16200000
19/20;Giovani Lo Celso;23;50000000;Real Betis;Tottenham;16000000
19/20;Stephan El Shaarawy;26;30000000;AS Roma;SH Shenhua;16000000
19/20;Quincy Promes;27;18000000;Sevilla FC;Ajax;15700000
19/20;Moussa Djenepo;21;12000000;Standard Liege;Southampton;15700000
19/20;Neal Maupay;22;12000000;Brentford;Brighton;15560000
19/20;Leandro Trossard;24;16000000;KRC Genk;Brighton;15560000
19/20;Matt Targett;23;7000000;Southampton;Aston Villa;15500000
19/20;Darwin Nunez;20;750000;Penarol;UD Almeria;15250000
19/20;Manuel Lazzari;25;18000000;SPAL;Lazio;15000000
19/20;Ozan Kabak;19;15000000;VfB Stuttgart;FC Schalke 04;15000000
19/20;Riccardo Orsolini;22;15000000;Juventus;Bologna;15000000
19/20;Lucas Ocampos;24;15000000;Marseille;Sevilla FC;15000000
19/20;Diego Carlos;26;13000000;FC Nantes;Sevilla FC;15000000
19/20;M'Baye Niang;24;12000000;Torino;Rennes;15000000
19/20;Moussa Diaby;19;12000000;Paris SG;B. Leverkusen;15000000
19/20;Keylor Navas;32;10000000;Real Madrid;Paris SG;15000000
19/20;Alexander Isak;19;8000000;Bor. Dortmund;Real Sociedad;15000000
19/20;Edson Alvarez;21;7500000;America;Ajax;15000000
19/20;Youssouf Fofana;21;6000000;R. Strasbourg;Monaco;15000000
19/20;Lloyd Kelly;20;9000000;Bristol City;Bournemouth;14800000
19/20;Maxi Gomez;22;40000000;Celta de Vigo;Valencia;14500000
19/20;Jakub Jankto;23;12000000;Udinese Calcio;Sampdoria;14500000
19/20;Amir Rrahmani;25;6000000;Hellas Verona;SSC Napoli;14200000
19/20;Diadie Samassekou;23;20000000;RB Salzburg;TSG Hoffenheim;14000000
19/20;Dario Benedetto;29;15000000;Boca Juniors;Marseille;14000000
19/20;Joan Jordan;25;12000000;SD Eibar;Sevilla FC;14000000
19/20;Manuel Locatelli;21;12000000;AC Milan;Sassuolo;14000000
19/20;Djibril Sow;22;9000000;BSC Young Boys;E. Frankfurt;14000000
19/20;Leander Dendoncker;24;18000000;RSC Anderlecht;Wolves;13800000
19/20;Ruslan Malinovskyi;26;12500000;KRC Genk;Atalanta BC;13600000
19/20;Benjamin Lecomte;28;17000000;Montpellier;Monaco;13500000
19/20;Henry Onyekuru;22;13000000;Everton;Monaco;13500000
19/20;Douglas Santos;25;10000000;Hamburger SV;Zenit S-Pb;13500000
19/20;Jeison Murillo;27;8000000;Valencia;Sampdoria;13300000
19/20;Ezri Konsa;21;3500000;Brentford;Aston Villa;13300000
19/20;Valentin Rongier;24;15000000;FC Nantes;Marseille;13000000
19/20;Gerson;22;13000000;AS Roma;Flamengo;13000000
19/20;Christopher Nkunku;21;12000000;Paris SG;RB Leipzig;13000000
19/20;Alexis Claude-Maurice;21;7500000;FC Lorient;OGC Nice;13000000
19/20;Denis Suarez;25;12000000;Barcelona;Celta de Vigo;12900000
19/20;Razvan Marin;23;13500000;Standard Liege;Ajax;12500000
19/20;Stefan Lainer;26;12500000;RB Salzburg;Bor. M'gladbach;12500000
19/20;Luuk de Jong;28;12000000;PSV Eindhoven;Sevilla FC;12500000
19/20;Stanley Nsoki;20;8500000;Paris SG;OGC Nice;12500000
19/20;Isaac Mbenza;23;5000000;Montpellier;Huddersfield;12500000
19/20;Erick Pulgar;25;10000000;Bologna;Fiorentina;12300000
19/20;Duvan Zapata;28;45000000;Sampdoria;Atalanta BC;12000000
19/20;Nicolo Barella;22;36000000;Cagliari Calcio;Inter;12000000
19/20;Shoya Nakajima;24;25000000;Al-Duhail SC;FC Porto;12000000
19/20;Andrea Petagna;24;20000000;Atalanta BC;SPAL;12000000
19/20;Grzegorz Krychowiak;29;18000000;Paris SG;Loko Moscow;12000000
19/20;Angelino;22;16000000;PSV Eindhoven;Man City;12000000
19/20;Xaver Schlager;21;15000000;RB Salzburg;VfL Wolfsburg;12000000
19/20;Remy Cabella;29;14000000;Saint-Etienne;Krasnodar;12000000
19/20;Hannes Wolf;20;12000000;RB Salzburg;RB Leipzig;12000000
19/20;Simone Zaza;28;10000000;Valencia;Torino;12000000
19/20;Bruma;24;10000000;RB Leipzig;PSV Eindhoven;12000000
19/20;Munas Dabbur;27;10000000;Sevilla FC;TSG Hoffenheim;12000000
19/20;Pedro Porro;19;10000000;Girona;Man City;12000000
19/20;Timo Baumgartl;23;9000000;VfB Stuttgart;PSV Eindhoven;12000000
19/20;Odion Ighalo;30;6500000;SH Shenhua;Man Utd;12000000
19/20;Marvelous Nakamba;25;6500000;Club Brugge;Aston Villa;12000000
19/20;Tino Kadewere;24;4000000;AC Le Havre;Olympique Lyon;12000000
19/20;Alex Kral;21;3500000;Slavia Prague;Spartak Moscow;12000000
19/20;Thierry Correia;20;400000;Sporting CP;Valencia;12000000
19/20;Ivan Cavaleiro;26;10000000;Wolves;Fulham;11800000
19/20;Zinho Vanheusden;19;10000000;Inter;Standard Liege;11740000
19/20;Joao Pedro;18;20000000;Fluminense;Watford;11500000
19/20;Albian Ajeti;22;7000000;FC Basel;West Ham;11300000
19/20;Noah Okafor;19;8000000;FC Basel;RB Salzburg;11200000
19/20;Lys Mousset;23;3500000;Bournemouth;Sheff Utd;11100000
19/20;Pedro;22;18000000;Fluminense;Fiorentina;11000000
19/20;Oliver Torres;24;17000000;FC Porto;Sevilla FC;11000000
19/20;Breel Embolo;22;14000000;FC Schalke 04;Bor. M'gladbach;11000000
19/20;Luciano Vietto;25;7000000;Atletico Madrid;Sporting CP;11000000
19/20;Jack Clarke;18;6000000;Leeds;Tottenham;11000000
19/20;Pedro Neto;19;2500000;SC Braga;Lazio;11000000
19/20;Rodolfo Pizarro;26;10000000;Monterrey;Miami;10910000
19/20;Ze Luis;28;8000000;Spartak Moscow;FC Porto;10750000
19/20;Ionut Radu;22;15000000;Genoa;Inter;10600000
19/20;Leo Duarte;23;4000000;Flamengo;AC Milan;10600000
19/20;Ally Samatta;27;12000000;KRC Genk;Aston Villa;10500000
19/20;Matias Vargas;22;11000000;Velez Sarsfield;Espanyol;10500000
19/20;Maximilian Wober;21;10000000;Sevilla FC;RB Salzburg;10500000
19/20;Maximilian Wober;21;10000000;Ajax;Sevilla FC;10500000
19/20;Denis Vavro;23;6000000;FC Copenhagen;Lazio;10500000
19/20;Brian Rodriguez;19;1000000;Penarol;LAFC;10450000
19/20;Diego Demme;28;17000000;RB Leipzig;SSC Napoli;10250000
19/20;Robert Skov;23;13000000;FC Copenhagen;TSG Hoffenheim;10000000
19/20;Benito Raman;24;12000000;F. Dusseldorf;FC Schalke 04;10000000
19/20;Remi Oudin;23;11000000;Stade Reims;G. Bordeaux;10000000
19/20;Jay Rodriguez;29;10000000;West Brom;Burnley;10000000
19/20;Portu;27;10000000;Girona;Real Sociedad;10000000
19/20;Santiago Ascacibar;22;10000000;VfB Stuttgart;Hertha BSC;10000000
19/20;Strahinja Pavlovic;18;8000000;Partizan;Monaco;10000000
19/20;Mahmoud Trezeguet;24;6000000;Kasimpasa;Aston Villa;10000000
19/20;Timothy Weah;19;6000000;Paris SG;LOSC Lille;10000000
19/20;Josh Brownhill;24;4500000;Bristol City;Burnley;10000000
19/20;Adrian Embarba;27;4000000;Rayo Vallecano;Espanyol;10000000
19/20;Eddie Salcedo;17;2000000;Genoa;Inter;10000000
19/20;Jean Marcelin;19;1500000;AJ Auxerre;Monaco;10000000
19/20;Arthur Zagre;17;;Paris SG;Monaco;10000000
19/20;Hannibal;16;;Monaco Youth;Man Utd U18;10000000
19/20;Uriel Antuna;22;3200000;Man City U23;Chivas;9900000
19/20;Ola Aina;22;10000000;Chelsea;Torino;9800000
19/20;Giovanni Di Lorenzo;25;9000000;Empoli;SSC Napoli;9800000
19/20;Alex Moreno;26;12000000;Rayo Vallecano;Real Betis;9700000
19/20;Fernando;28;9000000;Spartak Moscow;BJ Guoan;9600000
19/20;Fabian Delph;29;15000000;Man City;Everton;9500000
20/21;Kai Havertz;21;81000000;B. Leverkusen;Chelsea;80000000
20/21;Arthur Melo;24;56000000;Barcelona;Juventus;76000000
20/21;Victor Osimhen;21;40000000;LOSC Lille;SSC Napoli;75000000
20/21;Ruben Dias;23;35000000;Benfica;Man City;71600000
20/21;Miralem Pjanic;30;45000000;Juventus;Barcelona;60000000
20/21;Timo Werner;24;64000000;RB Leipzig;Chelsea;53000000
20/21;Ben Chilwell;23;40000000;Leicester;Chelsea;50200000
20/21;Mauro Icardi;27;60000000;Inter;Paris SG;50000000
20/21;Thomas Partey;27;40000000;Atletico Madrid;Arsenal;50000000
20/21;Leroy Sane;24;80000000;Man City;Bayern Munich;49000000
20/21;Nathan Ake;25;28000000;Bournemouth;Man City;45300000
20/21;Diogo Jota;23;28000000;Wolves;Liverpool;44700000
20/21;Achraf Hakimi;21;54000000;Real Madrid;Inter;43000000
20/21;Hakim Ziyech;27;40000000;Ajax;Chelsea;40000000
20/21;Fabio Silva;18;12000000;FC Porto;Wolves;40000000
20/21;Donny van de Beek;23;44000000;Ajax;Man Utd;39000000
20/21;Alvaro Morata;27;36000000;Chelsea;Atletico Madrid;35000000
20/21;Wesley Fofana;19;10000000;Saint-Etienne;Leicester;35000000
20/21;Ollie Watkins;24;12000000;Brentford;Aston Villa;34000000
20/21;Darwin Nunez;21;10000000;UD Almeria;Benfica;34000000
20/21;Ferran Torres;20;45000000;Valencia;Man City;33500000
20/21;Nicolo Barella;23;50000000;Cagliari Calcio;Inter;32500000
20/21;Nelson Semedo;26;40000000;Barcelona;Wolves;32000000
20/21;Giovani Lo Celso;24;40000000;Real Betis;Tottenham;32000000
20/21;Trincao;20;16000000;SC Braga;Barcelona;31000000
20/21;Rodrigo;29;40000000;Valencia;Leeds;30000000
20/21;Sergio Reguilon;23;25000000;Real Madrid;Tottenham;30000000
20/21;Ben Godfrey;22;16000000;Norwich;Everton;27500000
20/21;Jonathan David;20;25000000;KAA Gent;LOSC Lille;27000000
20/21;Yannick Carrasco;27;22500000;DL Pro;Atletico Madrid;27000000
20/21;Patrik Schick;24;25000000;AS Roma;B. Leverkusen;26500000
20/21;Gabriel Magalhaes;22;20000000;LOSC Lille;Arsenal;26000000
20/21;Jeremy Doku;18;9000000;RSC Anderlecht;Rennes;26000000
20/21;Rhian Brewster;20;5400000;Liverpool U23;Sheff Utd;26000000
20/21;Nicolo Rovella;19;4000000;Genoa;Juventus;26000000
20/21;Emre Can;26;24000000;Juventus;Bor. Dortmund;25000000
20/21;Stefano Sensi;25;20000000;Sassuolo;Inter;25000000
20/21;Jude Bellingham;17;11000000;Birmingham;Bor. Dortmund;25000000
20/21;Allan;29;28000000;SSC Napoli;Everton;24600000
20/21;Edouard Mendy;28;7000000;Rennes;Chelsea;24000000
20/21;Lucas Paqueta;23;20000000;AC Milan;Olympique Lyon;23440000
20/21;Said Benrahma;25;22000000;Brentford;West Ham;23100000
20/21;Sebastien Haller;26;30000000;West Ham;Ajax;22500000
20/21;Callum Wilson;28;20000000;Bournemouth;Newcastle;22250000
20/21;Thiago;29;48000000;Bayern Munich;Liverpool;22000000
20/21;Dominik Szoboszlai;20;25000000;RB Salzburg;RB Leipzig;22000000
20/21;Abdoulaye Doucoure;27;20000000;Watford;Everton;22000000
20/21;Simone Verdi;28;13000000;SSC Napoli;Torino;22000000
20/21;Roberto Inglese;28;12000000;SSC Napoli;Parma;21800000
20/21;Suso;26;17500000;AC Milan;Sevilla FC;21700000
20/21;Amad Diallo;18;15000000;Atalanta BC;Man Utd;21300000
20/21;Gianluca Mancini;24;22000000;Atalanta BC;AS Roma;21000000
20/21;Sergino Dest;19;18000000;Ajax;Barcelona;21000000
20/21;Andrea Pinamonti;21;13500000;Genoa;Inter;21000000
20/21;Jean-Kevin Augustin;23;9500000;RB Leipzig;Leeds;21000000
20/21;Timothy Castagne;24;18000000;Atalanta BC;Leicester;20900000
20/21;Aaron Ramsdale;22;12500000;Bournemouth;Sheff Utd;20500000
20/21;Wendel;23;12000000;Sporting CP;Zenit S-Pb;20300000
20/21;Alvaro Morata;27;36000000;Atletico Madrid;Juventus;20000000
20/21;Everton;24;28000000;Gremio;Benfica;20000000
20/21;Diego Llorente;27;20000000;Real Sociedad;Leeds;20000000
20/21;Alexander Sorloth;24;20000000;Crystal Palace;RB Leipzig;20000000
20/21;Vedat Muriqi;26;12000000;Fenerbahce;Lazio;20000000
20/21;Andrea Pinamonti;21;13500000;Inter;Genoa;19500000
20/21;Raphinha;23;16000000;Rennes;Leeds;18600000
20/21;Bertrand Traore;25;9500000;Olympique Lyon;Aston Villa;18400000
20/21;Pedrinho;22;13500000;Corinthians;Benfica;18000000
20/21;Eberechi Eze;22;9000000;QPR;Crystal Palace;17800000
20/21;Helder Costa;26;8000000;Wolves;Leeds;17700000
20/21;Jordan Veretout;27;24000000;Fiorentina;AS Roma;17500000
20/21;Emiliano Martinez;28;8000000;Arsenal;Aston Villa;17400000
20/21;Gerard Deulofeu;26;12000000;Watford;Udinese Calcio;17000000
20/21;Matt Doherty;28;16000000;Wolves;Tottenham;16800000
20/21;Krepin Diatta;21;18000000;Club Brugge;Monaco;16700000
20/21;Pierre-Emile Hojbjerg;25;20000000;Southampton;Tottenham;16600000
20/21;Jamal Lewis;22;11000000;Norwich;Newcastle;16500000
20/21;Karlan Grant;23;8000000;Huddersfield;West Brom;16500000
20/21;Pervis Estupinan;22;15000000;Watford;Villarreal;16399999
20/21;Tomas Soucek;25;12000000;Slavia Prague;West Ham;16200000
20/21;Paulinho;28;15000000;SC Braga;Sporting CP;16000000
20/21;Pity Martinez;27;12000000;Atlanta;Al-Nassr FC;16000000
20/21;Morgan Sanson;26;20000000;Marseille;Aston Villa;15800000
20/21;Antony;20;18000000;Sao Paulo;Ajax;15750000
20/21;Matty Cash;23;4800000;Nottm Forest;Aston Villa;15750000
20/21;Alex Telles;27;40000000;FC Porto;Man Utd;15000000
20/21;Chris Smalling;30;20000000;Man Utd;AS Roma;15000000
20/21;Geoffrey Kondogbia;27;17500000;Valencia;Atletico Madrid;15000000
20/21;Luca Waldschmidt;24;16000000;SC Freiburg;Benfica;15000000
20/21;Alfred Duncan;27;15000000;Sassuolo;Fiorentina;15000000
20/21;Nicolas Otamendi;32;14500000;Man City;Benfica;15000000
20/21;Marko Rog;25;13000000;SSC Napoli;Cagliari Calcio;15000000
20/21;Rolando Mandragora;23;12000000;Udinese Calcio;Juventus;15000000
20/21;Jhon Cordoba;27;12000000;1. FC Koln;Hertha BSC;15000000
20/21;Serhou Guirassy;24;8000000;Amiens SC;Rennes;15000000
20/21;Mario Pasalic;25;25000000;Chelsea;Atalanta BC;14500000
20/21;Aleksey Miranchuk;24;18000000;Loko Moscow;Atalanta BC;14500000
20/21;Pedro;23;12000000;Fiorentina;Flamengo;14000000
20/21;Joakim Maehle;23;11000000;KRC Genk;Atalanta BC;13700000
20/21;Oscar Rodriguez;22;15000000;Real Madrid;Sevilla FC;13500000
20/21;Grady Diangana;22;4500000;West Ham;West Brom;13500000
20/21;Kyle Walker-Peters;23;8000000;Tottenham;Southampton;13300000
20/21;Robin Koch;24;17000000;SC Freiburg;Leeds;13000000
20/21;Giovanni Simeone;25;15000000;Fiorentina;Cagliari Calcio;13000000
20/21;Axel Disasi;22;13500000;Stade Reims;Monaco;13000000
20/21;Lucas Martinez Quarta;24;10000000;River Plate;Fiorentina;13000000
20/21;Carles Perez;22;9000000;Barcelona;AS Roma;13000000
20/21;Konstantinos Tsimikas;24;9000000;Olympiacos;Liverpool;13000000
20/21;Dennis Man;22;6500000;FCSB;Parma;13000000
20/21;Brenden Aaronson;20;10000000;Philadelphia;RB Salzburg;12700000
20/21;Jean-Daniel Akpa Akpro;27;600000;Salernitana;Lazio;12700000
20/21;Federico Chiesa;22;48000000;Fiorentina;Juventus;12600000
20/21;Joe Rodon;23;7000000;Swansea;Tottenham;12100000
20/21;Ibrahima Diallo;21;15000000;Stade Brestois;Southampton;12000000
20/21;Dejan Lovren;31;12000000;Liverpool;Zenit S-Pb;12000000
20/21;Oussama Idrissi;24;12000000;AZ Alkmaar;Sevilla FC;12000000
20/21;Mohammed Salisu;21;12000000;Real Valladolid;Southampton;12000000
20/21;Martin Terrier;23;10500000;Olympique Lyon;Rennes;12000000
20/21;Hee-chan Hwang;24;10000000;RB Salzburg;RB Leipzig;12000000
20/21;Alex Berenguer;25;6000000;Torino;Athletic;12000000
20/21;Manolo Portanova;20;1000000;Juventus;Genoa;12000000
20/21;Brenner;21;1300000;Sao Paulo;Cincinnati;11820000
20/21;Marc Cucurella;21;18000000;Barcelona;Getafe;11800000
